LAMMPS data file via write_data, version 11 Aug 2017, timestep = 1000

4000 atoms
1 atom types

0.0000000000000000e+00 1.7029098497634511e+01 xlo xhi
0.0000000000000000e+00 1.7029098497634511e+01 ylo yhi
0.0000000000000000e+00 1.7029098497634511e+01 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 1

Atoms # full

35 0 1 0.0000000000000000e+00 9.1075610533705287e-01 4.5658909149101196e-01 1.1294826075844053e+00 1 0 0
1888 0 1 0.0000000000000000e+00 8.4666989895664313e-01 1.3814210414539552e+00 2.5984652552429699e-01 0 0 1
315 0 1 0.0000000000000000e+00 1.3832396059634839e+00 3.7802893289043327e-01 2.6106812606074406e-02 1 0 0
136 0 1 0.0000000000000000e+00 1.4848998983693018e+00 1.2860054778902505e+00 1.0926764407658913e+00 0 0 0
493 0 1 0.0000000000000000e+00 2.0482721700507187e+00 3.1676814107416018e-01 1.0231058261536052e+00 0 0 0
1495 0 1 0.0000000000000000e+00 2.1763236710973843e+00 1.3413084725436626e+00 3.5290840123150907e-01 0 0 1
288 0 1 0.0000000000000000e+00 3.1856807177156812e+00 7.5792530257757906e-01 5.0733166150449849e-01 0 0 0
2140 0 1 0.0000000000000000e+00 4.1898497003363291e+00 3.0613957654685453e-01 1.3462746952508771e+00 0 1 0
1853 0 1 0.0000000000000000e+00 5.1088136355413809e+00 5.9159177598252866e-01 6.4222618519973085e-01 0 0 1
404 0 1 0.0000000000000000e+00 4.2726225032239764e+00 5.9608838964778244e-01 1.0728873546849950e-01 0 0 0
1894 0 1 0.0000000000000000e+00 6.3918632722079201e+00 4.6749512145115774e-01 7.0164189486027895e-01 0 0 1
1944 0 1 0.0000000000000000e+00 7.7770241852013164e+00 1.2211129857416410e+00 1.0301393929054459e+00 0 0 1
2377 0 1 0.0000000000000000e+00 7.5676818847239780e+00 3.8176771180312619e-01 4.2902614924138333e-01 0 1 0
616 0 1 0.0000000000000000e+00 8.4980946230192025e+00 7.9605613064001723e-01 3.8844942160365414e-01 0 0 0
859 0 1 0.0000000000000000e+00 9.3549516701552662e+00 1.2321213835284799e+00 7.7608059651102745e-01 0 0 0
3696 0 1 0.0000000000000000e+00 9.5210729505807041e+00 1.2758117891107645e-01 9.6175599487897778e-01 0 1 1
711 0 1 0.0000000000000000e+00 1.0409138686064340e+01 1.1976041711818515e+00 8.5465394037086462e-01 0 0 0
1955 0 1 0.0000000000000000e+00 1.0575206099024006e+01 2.0877598776243689e-01 8.5691357246053934e-01 0 0 1
70 0 1 0.0000000000000000e+00 1.1477214677999218e+01 1.3001833526178712e+00 1.1756751952941860e+00 0 0 0
470 0 1 0.0000000000000000e+00 1.1830634609428913e+01 2.9945516003356853e-01 8.6755446348859067e-01 0 0 0
476 0 1 0.0000000000000000e+00 1.2377521869830051e+01 1.0533652324313190e+00 2.0046704983325680e-03 0 0 0
2388 0 1 0.0000000000000000e+00 1.4027924040872515e+01 6.9267464489095287e-01 1.5592504155108566e-01 0 1 0
435 0 1 0.0000000000000000e+00 1.3118394828375466e+01 8.3465559984888649e-01 7.3257268780915441e-01 0 0 0
2161 0 1 0.0000000000000000e+00 1.5091267271100643e+01 1.0368917482079937e-01 3.3948698878588379e-01 -1 1 0
2103 0 1 0.0000000000000000e+00 1.4658590815093918e+01 8.3086464801563531e-01 1.0103881521557878e+00 0 1 0
